"날짜","파키스탄 DAU","이집트 DAU","터키 DAU","러시아 DAU","우즈베키스탄 DAU","인도네시아 DAU","사우디 아라비아 DAU","베트남 DAU","미국 DAU"
"2025-08-21","3114437","2929272","1756527","1970059","1056862","790236","535236","572872","545694"
"2025-08-22","3249549","3059786","1790259","2040167","1033015","776110","688765","525682","665441"
"2025-08-23","3309311","2870093","1795628","1990389","1045792","687741","567791","656978","614167"
"2025-08-24","3556762","2936614","1749595","1951074","1004357","718255","711231","555641","582717"
"2025-08-25","3407138","2773213","1794482","2029493","1017583","792990","651634","648118","556113"
"2025-08-26","3401257","2776635","1699574","1886151","904963","671007","612492","526049","665976"
"2025-08-27","3259312","2692800","1719236","1895644","1022701","653086","767515","543430","730849"
"2025-08-28","3060697","2652602","1688244","1772000","1033954","787508","615593","648685","723190"
"2025-08-29","3385504","2818126","1619714","1799941","1035645","824749","622191","640364","596285"
"2025-08-30","3553046","2572756","1700074","1820513","965815","825837","609789","754253","542185"
"2025-08-31","3783151","2642075","1805572","1785129","962973","763705","568451","688474","519615"
"2025-09-01","3422198","2684827","1666850","1978052","922793","677029","556810","717614","470712"
"2025-09-02","3208176","2711986","1712351","1636699","914429","739033","620207","609359","453681"
"2025-09-03","3192613","2742535","1737140","1685227","828799","830780","521262","549292","441385"
"2025-09-04","3340356","3005370","1800929","1832390","946128","705560","699936","523838","413116"
"2025-09-05","3549460","3031625","1716754","2060502","911320","876557","733520","658590","424938"
"2025-09-06","3711908","2801026","1901320","1960567","944890","899114","599728","581977","408404"
"2025-09-07","3541800","2817736","1674503","1944145","929902","819048","517071","604939","457524"
"2025-09-08","3354188","2633223","1495643","1927842","907605","784337","535616","506698","459788"
"2025-09-09","3053591","2702507","1231989","1887801","1041255","840605","569837","611173","495420"
"2025-09-10","3202170","2621715","1221720","1900803","1057314","755467","652917","512142","511813"
"2025-09-11","3099686","2780523","1316899","1818010","987377","714782","520904","542773","588109"
"2025-09-12","3294706","2878164","1422269","1959444","1046475","751369","632117","619108","585165"
"2025-09-13","3417555","2532261","1530647","1860272","1080685","786678","602212","517802","563439"
"2025-09-14","3304873","2547748","1514247","1706302","1056621","676709","498815","570381","530261"
"2025-09-15","2968391","2559363","1276823","1673923","960258","578770","550306","455825","483251"
"2025-09-16","3023147","2570320","1219734","1640116","1051779","671854","548073","491677","408753"
"2025-09-17","2882518","2546835","1205611","1652225","834354","659271","448110","573247","342242"
"2025-09-18","2886809","2627293","1172790","1611208","926960","718331","561905","600080","360349"
"2025-09-19","2832714","2771138","1296363","1880258","867774","677195","574453","693376","351383"
"2025-09-20","2900583","2362098","1486274","1865599","898536","742570","516554","575719","367838"
"2025-09-21","2879726","2275230","1476207","1773687","970093","666197","533534","603698","393694"
"2025-09-22","2844520","2111591","1194454","1708211","970211","745324","510871","525751","392377"
"2025-09-23","2851882","2020950","1217111","1699492","935208","591915","516726","499902","411064"
"2025-09-24","2721116","2147058","1238012","1721973","912033","611363","485127","467648","447510"
"2025-09-25","2641700","2297452","1232045","1781866","901250","680327","521060","477088","471624"
"2025-09-26","2968077","2285738","1342979","1791989","841134","650199","550384","607733","424558"
"2025-09-27","3097206","2120931","1512482","1867788","912102","789468","500306","711989","387638"
"2025-09-28","3129868","2166051","1505184","1903668","951223","581684","501353","542868","335133"
"2025-09-29","2662178","2048773","1188473","1895836","845117","577461","453383","501307","342863"
"2025-09-30","2601164","2033619","1197516","1862879","914906","619496","541139","516338","321751"
"2025-10-01","2508707","1918806","1197655","1746455","906588","625314","477753","485798","332913"
"2025-10-02","2522518","2131654","1161997","1742086","832146","607164","548117","564701","356343"
"2025-10-03","2765275","2469476","1278215","1861040","777281","778169","637384","587370","339223"
"2025-10-04","2780174","2098105","1384390","1916036","897395","850311","461476","491806","370020"
"2025-10-05","2831579","2006369","1256900","1829104","932751","653208","389490","627555","387867"
"2025-10-06","2631394","1890947","1038727","1740500","838822","587901","427656","468177","344985"
"2025-10-07","2631527","1906952","1041722","1696781","836518","585641","489655","431103","357108"
"2025-10-08","2598223","2067357","1114095","1694553","816654","603320","432035","586732","359834"
"2025-10-09","2644998","2332176","1054725","1716541","837804","699386","460943","327137","349126"
"2025-10-10","2773595","2416079","1196251","1857765","832749","612237","541381","517905","350659"
"2025-10-11","2954686","2066021","1506582","1793948","1006697","673119","532721","404471","346533"
"2025-10-12","2799719","1861676","1388889","1795380","887593","579603","456819","460163","336437"
"2025-10-13","2543009","1870499","1069626","1654340","863102","601431","417558","350704","372922"
"2025-10-14","2530108","1830879","984086","1650638","809272","585045","358036","447388","395350"
"2025-10-15","2742347","1863972","944129","1695875","836599","737641","505746","610829","395311"
"2025-10-16","2615794","2150185","955297","1665062","870368","683325","538431","600225","375041"
"2025-10-17","2523210","2297424","1110856","1886093","780106","682386","501772","585002","350204"
"2025-10-18","2911227","1991980","1293586","2007802","919497","690808","452846","549395","378204"
"2025-10-19","2785142","1826158","1271653","1860822","879725","663870","492019","412804","390758"
"2025-10-20","2253548","1728032","1124193","1814530","776848","712464","524021","385225","422682"
"2025-10-21","2287651","1728789","1092711","1734079","703947","667966","434717","507636","422688"
"2025-10-22","2285302","1822252","1093928","1740099","764408","711558","448508","409923","398218"
"2025-10-23","2433735","2003207","1058095","1786914","701442","569474","525268","355207","397458"
"2025-10-24","2587301","2086545","1165932","1965807","790836","685265","538748","547657","358432"
"2025-10-25","2680742","1763168","1408126","1968733","839619","640904","476747","341241","370133"
"2025-10-26","2635003","1677440","1219118","2006081","722162","579552","385654","476798","418057"
"2025-10-27","2291682","1595859","1119857","1863850","762633","576458","482270","453019","401616"
"2025-10-28","2148922","1702216","1432354","1905328","723392","598854","424113","493317","367427"
"2025-10-29","2267609","1788328","1263087","1806959","772132","546418","435556","448473","318878"
"2025-10-30","2397498","2032249","1047087","1840531","790682","633173","466329","430474","327340"
"2025-10-31","2530258","2184814","1201667","1913954","770668","579174","490695","462199","332208"
"2025-11-01","2709811","2085114","1478962","1916920","881920","538326","481146","484678","378561"
"2025-11-02","2649285","1919925","1297313","1900877","813770","599065","296052","494782","382612"
"2025-11-03","2421668","1966020","1068902","1887686","820330","586421","372204","467175","395853"
"2025-11-04","2386603","1784772","1204209","1739859","853319","611679","359511","472422","395388"
"2025-11-05","2275434","1820830","1157102","1844960","872033","636882","304896","439327","383744"
"2025-11-06","2569602","2089909","1163211","1913554","861456","628056","360165","418820","412116"
"2025-11-07","2459001","2198600","1359173","2050529","1005741","685648","455359","464860","391591"
"2025-11-08","2891669","1907936","1643490","2069421","1071538","574042","383482","476125","413154"
"2025-11-09","2767980","1847748","1773016","2019867","927192","574924","368675","470475","430082"
"2025-11-10","2404577","2061849","1630800","1984123","921417","617345","342636","435621","412563"
"2025-11-11","2455608","2034653","1638320","1873151","868739","702499","367539","490847","443879"
"2025-11-12","2386959","1920113","1619832","1856164","855845","652538","381232","524839","427109"
"2025-11-13","2497153","2168805","1706741","1776406","906773","591378","372839","468005","422361"
"2025-11-14","2311258","2149022","1716470","1915447","906800","652894","402848","453789","415097"
"2025-11-15","2478784","2008559","1702673","2030183","974486","575480","394160","390669","403035"
"2025-11-16","2524121","1818032","1551942","1940422","836630","620238","376343","386446","392161"
"2025-11-17","2162678","1886141","1338552","1834937","894466","558037","412469","338250","391901"
"2025-11-18","2058215","1883656","1236579","1870262","894271","626537","368350","312704","416515"
"2025-11-19","2205387","1828601","1254623","1780019","961364","572390","388437","286689","429068"
"2025-11-20","2222578","2092442","1202942","1865136","959513","568015","417680","248807","440726"
"2025-11-21","2375609","2160305","1360525","2281652","903794","695100","461467","270256","415268"
"2025-11-22","2455063","1861543","1665815","2460227","1040557","591805","443245","265592","432080"
"2025-11-23","2604624","1891459","1606342","2175404","1066423","561295","441133","276359","427745"
"2025-11-24","2251570","1954997","1336232","1937025","897187","600237","378280","262625","507967"
"2025-11-25","2242925","1791878","1303400","2001461","922750","599598","382137","264446","534769"
"2025-11-26","2279999","1892412","1433152","1923941","851726","653626","403452","255640","549641"
"2025-11-27","2262958","2055203","1356373","2012819","859062","537113","347942","236366","601727"
"2025-11-28","2348484","2079475","1533491","2244403","843102","637951","457502","237590","564752"
"2025-11-29","2435166","1924927","1836891","2151338","962890","639093","380249","254928","509383"
"2025-11-30","2548209","1847139","1776129","2068558","895830","645609","326947","271298","544193"
