"날짜","인도네시아 DAU","베트남 DAU","브라질 DAU","멕시코 DAU","파키스탄 DAU","태국 DAU","알제리 DAU","콜롬비아 DAU","페루 DAU"
"2025-09-28","8853372","8072724","5674634","6655399","4474904","2764689","2013525","1685283","1765003"
"2025-09-29","9026888","6549947","5091306","6093415","3748159","2473639","1933713","1609056","1580845"
"2025-09-30","8838145","6420668","4483066","5960947","4065419","2533765","1981305","1750143","1528964"
"2025-10-01","8588183","6474554","5073600","4113833","3945149","2277837","1624148","1533114","1217011"
"2025-10-02","8939202","6438113","4583891","5253933","3552242","2392338","1735687","1402486","1478097"
"2025-10-03","9495029","6946145","4733590","5262050","3892427","2408702","2140282","1671179","1527876"
"2025-10-04","9486879","7068500","5142805","5572949","4171202","1887937","1937643","1816638","1544257"
"2025-10-05","9046182","7863439","5293395","6078429","4028342","1933427","1678564","1821751","1505489"
"2025-10-06","7819493","5766141","4272465","5075833","3491058","1986001","1678306","1719584","1550591"
"2025-10-07","8016429","6546586","4327087","5203432","3463643","2241764","1684183","1813586","1384473"
"2025-10-08","7905334","6243489","4207737","4827697","3321201","2140262","1811942","1622995","1561370"
"2025-10-09","8103300","5950421","4631177","4948337","3570544","2351434","1760408","1725981","1464972"
"2025-10-10","8897311","6163605","4544942","4940576","3687136","2150166","2195044","1634240","1482186"
"2025-10-11","8998453","7593381","5105341","5309877","3865127","2236745","1853305","1683629","1606508"
"2025-10-12","8536162","7204067","5364269","5359684","3872433","1910322","1566373","1587239","1628391"
"2025-10-13","7850946","6192675","4693003","4901244","3654669","2156650","1439399","1676653","1513576"
"2025-10-14","7971072","6283201","4188201","4416892","3584320","2152788","1653491","1343224","1407784"
"2025-10-15","8368510","6156486","4515362","4600927","3704649","1776130","1580112","1236335","1341125"
"2025-10-16","8199783","6518915","4321071","4583021","3505418","2092090","1614855","1195005","1460627"
"2025-10-17","9182272","6851284","4580186","4673891","3713748","2272173","2086885","1307964","1386493"
"2025-10-18","9914746","6810844","5416099","5106189","3885637","2530597","1735567","1320589","1443270"
"2025-10-19","8782742","6701303","4901118","5188816","3996474","2215158","1429099","1326126","1564869"
"2025-10-20","8142560","5691973","4314679","4477517","3474601","2740867","1501385","1264825","1452908"
"2025-10-21","7907378","5782679","3968351","4620824","3307543","2470446","1703270","1256970","1254774"
"2025-10-22","7710334","5620129","4233321","4474420","3341778","2192332","1434938","1297404","1297914"
"2025-10-23","8102745","5075949","4284728","4534650","3232459","2254298","1608585","1275118","1240439"
"2025-10-24","8557509","5438389","4600118","4380527","3887483","2750152","1818898","1418626","1395073"
"2025-10-25","9444344","6534592","5453681","5152646","3873909","2150580","1688221","1316597","1460807"
"2025-10-26","8810538","7191954","5057532","5319641","3780434","1991073","1398410","1347470","1553816"
"2025-10-27","7633332","5318289","5040540","4688752","3392446","2489480","1554337","1296761","1433840"
"2025-10-28","8752360","5110924","4461638","4803951","3447322","2555589","1835095","1360779","1231434"
"2025-10-29","7881500","5773820","4808099","5017475","3525713","2618800","2027938","1350200","1407455"
"2025-10-30","8037804","6126429","5060116","5329735","3924282","2303559","2245951","1617356","1329611"
